SiteRep,Date,Sample_Time,PropTrees_Sampled,CanopyCoverPer,AVG1km_ISC,AVG1km_CC,AVG1km_ALAN,AVG_PM2.5,AVG_PM10,AVG_CO2,AVG_TEMP,AVG_HUMID
R1A,2023-06-03T04:00:00Z,148,0.5,90.14371470038633,5.72709219858156,70.06921985815603,36.1764705882353,3.365217391304346,5.0804347826086955,394.0652173913044,29.235507246376816,38.94782608695652
R1B,2023-06-04T04:00:00Z,102,0.6666666666666666,98.81267321743512,5.277699064890904,69.87786908472656,35.22222222222222,2.44607843137255,3.711764705882353,397.2156862745098,20.83823529411764,50.280392156862774
R1C,2023-06-05T04:00:00Z,163,0.5555555555555556,91.45578756193835,2.5389628790025505,74.19098894871068,31.166666666666668,1.2558282208588951,1.9233128834355828,410.8773006134969,21.754942058623037,56.93312883435584
R2B,2023-08-19T04:00:00Z,83,0.6470588235294118,98.81267321743512,5.277699064890904,69.87786908472656,35.22222222222222,5.949397590361446,8.978313253012049,463.7590361445783,23.164658634538156,72.00481927710844
R2C,2023-08-19T04:00:00Z,105,0.75,91.45578756193835,2.5389628790025505,74.19098894871068,31.166666666666668,10.615238095238094,16.355238095238096,1013.0190476190476,26.20899470899471,62.749523809523815
S1A,2023-06-24T04:00:00Z,157,0.6666666666666666,88.08251743984631,38.252057905194434,40.12177121771218,144.7058823529412,4.059872611464966,6.0681528662420385,504.484076433121,26.517692852087748,80.46305732484075
S2A,2023-07-22T04:00:00Z,95,0.8181818181818182,88.08251743984631,38.252057905194434,40.12177121771218,144.7058823529412,1.678947368421053,2.5252631578947353,478.22105263157897,26.189473684210522,70.1610526315789
U1A,2023-06-08T04:00:00Z,100,0.6923076923076923,90.65249170655918,44.075049561030866,21.938827527612574,146.52380952380952,71.08000000000001,109.62000000000002,439.78,21.11,52.44099999999999
U1B,2023-06-10T04:00:00Z,105,0.7272727272727273,88.7329357861972,26.72797043774872,53.091245025582715,133.73684210526315,8.089523809523806,12.065714285714286,442.56190476190477,30.376719576719577,36.78857142857143
U1C,2023-06-11T04:00:00Z,74,0.6153846153846154,NA,62.51347517730496,17.359716312056737,158.55555555555554,21.492424242424253,32.321212121212135,524.0909090909091,28.419191919191906,65.4287878787879
U2A,2023-07-15T04:00:00Z,72,0.6923076923076923,90.65249170655918,44.075049561030866,21.938827527612574,146.52380952380952,13.113888888888892,19.49722222222222,545.5694444444445,28.4645061728395,86.82638888888889
U2B,2023-07-20T04:00:00Z,125,0.75,88.7329357861972,26.72797043774872,53.091245025582715,133.73684210526315,11.401599999999998,17.1544,499.488,28.290666666666677,71.20000000000003
R2A,2023-08-20T04:00:00Z,58,0.6,90.14371470038633,5.72709219858156,70.06921985815603,36.1764705882353,8.674137931034481,13.177586206896551,468.87931034482756,26.45977011494253,67.5155172413793
